Source.Name;Kode_Wilayah;Nama_Wilayah;Jumlah;Nilai;Persentase;Tahun;Periode;Level ;
Nasional 2023 periode 2.xlsx;18;Lampung;322;106;32.92;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;14;Riau;240;79;32.92;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;15;Jambi;212;68;32.08;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;94;Papua Tengah;125;40;32.0;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;12;Sumatera Utara;620;170;27.42;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;72;Sulawesi Tengah;219;57;26.03;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;71;Sulawesi Utara;199;48;24.12;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;94;Papua;121;27;22.31;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;76;Sulawesi Barat;98;19;19.39;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;62;Kalimantan Tengah;204;37;18.14;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;95;Papua Pegunungan;178;31;17.42;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;74;Sulawesi Tenggara;308;50;16.23;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;91;Papua Barat;76;12;15.79;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;75;Gorontalo;95;15;15.79;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;93;Papua Selatan;85;11;12.94;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;65;Kalimantan Utara;58;5;8.62;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;96;Papua Barat Daya;91;0;0.0;2023;2;Nasional;
Nasional 2023 periode 3.xlsx;31;DKI Jakarta;44;168;381.82;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;34;DI Yogyakarta;121;111;91.74;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;35;Jawa Timur;979;815;83.25;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;52;Nusa Tenggara Barat;177;145;81.92;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;36;Banten;254;202;79.53;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;33;Jawa Tengah;882;673;76.3;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;73;Sulawesi Selatan;474;304;64.14;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;32;Jawa Barat;1106;650;58.77;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;19;Kepulauan Bangka Belitung;64;37;57.81;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;17;Bengkulu;180;103;57.22;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;51;Bali;120;65;54.17;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;64;Kalimantan Timur;188;94;50.0;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;13;Sumatera Barat;282;141;50.0;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;63;Kalimantan Selatan;242;118;48.76;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;61;Kalimantan Barat;249;118;47.39;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;16;Sumatera Selatan;352;147;41.76;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;11;Aceh;366;144;39.34;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;82;Maluku Utara;150;57;38.0;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;53;Nusa Tenggara Timur;435;162;37.24;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;81;Maluku;241;88;36.51;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;21;Kepulauan Riau;96;35;36.46;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;14;Riau;240;85;35.42;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;18;Lampung;322;114;35.4;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;15;Jambi;212;75;35.38;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;94;Papua Tengah;125;41;32.8;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;72;Sulawesi Tengah;219;68;31.05;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;12;Sumatera Utara;620;181;29.19;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;71;Sulawesi Utara;199;51;25.63;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;76;Sulawesi Barat;98;24;24.49;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;94;Papua;121;29;23.97;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;62;Kalimantan Tengah;204;45;22.06;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;75;Gorontalo;95;18;18.95;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;74;Sulawesi Tenggara;308;54;17.53;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;95;Papua Pegunungan;178;31;17.42;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;91;Papua Barat;76;12;15.79;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;93;Papua Selatan;85;11;12.94;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;65;Kalimantan Utara;58;5;8.62;2023;3;Nasional;
Nasional 2023 periode 3.xlsx;96;Papua Barat Daya;91;0;0.0;2023;3;Nasional;
Nasional 2023 periode 4.xlsx;31;DKI Jakarta;44;169;384.09;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;34;DI Yogyakarta;121;111;91.74;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;35;Jawa Timur;979;816;83.35;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;52;Nusa Tenggara Barat;177;144;81.36;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;36;Banten;254;204;80.31;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;33;Jawa Tengah;882;677;76.76;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;73;Sulawesi Selatan;474;305;64.35;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;32;Jawa Barat;1106;661;59.76;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;17;Bengkulu;180;104;57.78;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;19;Kepulauan Bangka Belitung;64;36;56.25;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;51;Bali;120;65;54.17;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;64;Kalimantan Timur;188;94;50.0;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;13;Sumatera Barat;282;141;50.0;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;63;Kalimantan Selatan;242;120;49.59;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;61;Kalimantan Barat;249;118;47.39;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;16;Sumatera Selatan;352;149;42.33;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;11;Aceh;366;148;40.44;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;82;Maluku Utara;150;58;38.67;2023;4;Nasional;
Nasional 2023 periode 4.xlsx;53;Nusa Tenggara Timur;435;165;37.93;2023;4;Nasional;
